"File","Line","Literal","Category"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\profilePage\TournamentProfileSection.tsx","146","dataKey=""label""","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\profilePage\TournamentProfileSection.tsx","147","[""auto"", ""auto""]","ignore_candidate"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\profilePage\TournamentProfileSection.tsx","147","[""auto"", ""auto""]","ignore_candidate"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\profilePage\TournamentProfileSection.tsx","161","dataKey=""elo""","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\profilePage\TournamentProfileSection.tsx","162","stroke=""#10b981""","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\profilePage\TournamentProfileSection.tsx","195","row.placement ? `#${row.placement}` : ""-""","must_translate"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\profilePage\TournamentProfileSection.tsx","205","row.eloChange >= 0 ? ""+"" : """"","must_translate"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\profile\GameCardHeader.tsx","63","<span className=""text-xs text-gray-400"">({game.whiteElo})</span>","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\profile\GameCardHeader.tsx","63","<span className=""text-xs text-gray-400"">({game.whiteElo})</span>","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\profile\GameCardHeader.tsx","74","<span className=""text-xs text-gray-400"">({game.blackElo})</span>","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\profile\GameCardHeader.tsx","74","<span className=""text-xs text-gray-400"">({game.blackElo})</span>","safe_technical"
