
=== YOUR CODE STATISTICS ===

src\pages\adminGroups\index.ts                                    2 lines
src\pages\adminLearn\index.ts                                     2 lines
src\pages\friends\index.ts                                        2 lines
src\pages\messages\index.ts                                       2 lines
src\pages\playFourPlayer\index.ts                                 2 lines
src\pages\playPractice\index.ts                                   2 lines
src\pages\playVariants\index.ts                                   2 lines
src\pages\tournaments\index.ts                                    2 lines
.vercel\project.json                                              1 lines

======================================================================
Total Files: 521
Total Lines: 139436
======================================================================

