avg_centipawn_loss,std_centipawn_loss,median_centipawn_loss,max_centipawn_loss,cp_loss_q25,cp_loss_q75,top1_move_rate,blunder_rate,mistake_rate,cp_loss_variance,player_elo,opponent_elo,elo_diff,player_rd,game_length,time_base,won,is_computer
58.733333333333334,52.37488796063329,43.5,168.0,13.0,107.0,0.26666666666666666,0.0,0.26666666666666666,2743.1288888888894,2049,1972,77,17.1,60,300,0.0,0
7.857142857142857,11.8421592074198,2.0,46.0,0.0,13.0,0.45714285714285713,0.0,0.0,140.23673469387754,3051,2979,72,37.7,164,0,1.0,1
5.142857142857143,11.414634359059443,0.0,55.0,0.0,6.0,0.6571428571428571,0.0,0.0,130.2938775510204,2979,3051,-72,34.7,164,0,0.0,0
18.0,22.73834334476714,5.0,79.0,0.0,30.0,0.45161290322580644,0.0,0.0,517.0322580645161,2143,1977,166,34.3,61,0,1.0,1
30.8,67.52599499452045,2.5,343.0,0.0,26.75,0.5,0.03333333333333333,0.06666666666666667,4559.759999999999,1977,2143,-166,24.8,61,0,0.0,0
18.85,29.890257610131098,7.0,123.0,0.0,29.25,0.6,0.0,0.05,893.4275,2496,1656,840,40.7,40,300,1.0,1
513.9,1933.1922537606033,42.5,8931.0,20.75,90.75,0.2,0.15,0.1,3737232.2900000005,1656,2496,-840,22.8,40,300,0.0,0
430.9583333333333,1820.3723172098307,27.5,9157.0,5.75,86.25,0.4166666666666667,0.08333333333333333,0.125,3313755.3732638885,2092,2117,-25,55.8,49,900,0.0,1
14.4,23.978323544401515,2.0,80.0,0.0,11.0,0.6,0.0,0.0,574.96,2117,2092,25,81.3,49,900,1.0,0
13.84375,22.13045042328556,3.5,88.0,0.0,19.5,0.6875,0.0,0.0,489.7568359375,2687,1888,799,32.0,63,300,1.0,1
334.258064516129,1695.8203261442516,9.0,9621.0,0.0,37.0,0.5161290322580645,0.03225806451612903,0.06451612903225806,2875806.578563996,1888,2687,-799,36.8,63,300,0.0,0
15.176470588235293,20.566206702537247,10.0,77.0,0.0,14.0,0.4117647058823529,0.0,0.0,422.96885813148793,2560,1714,846,42.4,33,180,1.0,1
29.375,56.71516001035349,0.5,200.0,0.0,15.25,0.5,0.0,0.1875,3216.609375,1714,2560,-846,339.2,33,180,0.0,0
12.285714285714286,15.665378438858511,7.0,63.0,1.0,13.0,0.4,0.0,0.0,245.40408163265312,2227,1857,370,93.5,83,0,1.0,1
13.542857142857143,18.529270831606418,7.0,90.0,0.0,22.5,0.42857142857142855,0.0,0.0,343.3338775510204,1857,2227,-370,29.5,83,0,0.0,0
43.57142857142857,44.724736341495934,36.0,155.0,4.0,71.5,0.37142857142857144,0.0,0.08571428571428572,2000.3020408163268,2003,2027,-24,25.3,85,300,1.0,1
39.51428571428571,49.21519592772218,24.0,181.0,1.0,62.0,0.34285714285714286,0.0,0.11428571428571428,2422.1355102040816,2027,2003,24,18.9,85,300,0.0,0
69.06896551724138,118.18539819794027,28.0,585.0,5.0,68.0,0.27586206896551724,0.10344827586206896,0.10344827586206896,13967.788347205706,2085,2183,-98,38.6,57,60,1.0,1
43.107142857142854,69.63955120358497,6.0,245.0,0.0,42.25,0.5357142857142857,0.07142857142857142,0.10714285714285714,4849.667091836734,2183,2085,98,111.7,57,60,0.0,0
27.942857142857143,44.01164966372482,5.0,169.0,0.0,35.5,0.5142857142857142,0.0,0.11428571428571428,1937.0253061224491,2186,1822,364,29.0,114,300,1.0,1
31.17142857142857,50.9209391195442,10.0,279.0,3.5,42.5,0.37142857142857144,0.02857142857142857,0.02857142857142857,2592.942040816327,1822,2186,-364,21.2,114,300,0.0,0
398.9259259259259,1745.4657009037876,29.0,9291.0,9.0,82.5,0.1111111111111111,0.1111111111111111,0.1111111111111111,3046650.5130315507,2160,2090,70,30.9,54,300,0.0,1
26.814814814814813,53.11555330356151,7.0,257.0,0.5,22.0,0.5555555555555556,0.037037037037037035,0.037037037037037035,2821.2620027434846,2090,2160,-70,18.1,54,300,1.0,0
48.65714285714286,63.47055238776611,22.0,224.0,6.5,53.5,0.37142857142857144,0.05714285714285714,0.08571428571428572,4028.5110204081625,1959,2041,-82,23.5,136,300,0.0,1
42.57142857142857,51.12689295931711,30.0,221.0,0.5,53.0,0.2571428571428571,0.02857142857142857,0.14285714285714285,2613.9591836734694,2041,1959,82,17.5,136,300,1.0,0
34.31578947368421,45.58976412307684,24.0,192.0,9.5,33.5,0.42105263157894735,0.0,0.10526315789473684,2078.4265927977845,2061,2063,-2,26.3,37,900,1.0,1
62.166666666666664,131.82069050207727,16.5,565.0,0.0,40.25,0.3888888888888889,0.1111111111111111,0.05555555555555555,17376.694444444445,2063,2061,2,28.8,37,900,0.0,0
35.65714285714286,40.05206815216046,28.0,147.0,0.0,60.5,0.4,0.0,0.05714285714285714,1604.168163265306,2130,1982,148,47.6,88,900,0.0,1
36.2,56.44608046622901,15.0,246.0,0.0,52.5,0.5428571428571428,0.02857142857142857,0.08571428571428572,3186.1600000000003,1982,2130,-148,35.8,88,900,1.0,0
34.77142857142857,39.75789999792366,21.0,129.0,0.0,65.0,0.4,0.0,0.08571428571428572,1580.690612244898,2068,1937,131,19.2,133,300,0.0,1
23.485714285714284,33.38893865473708,10.0,148.0,0.0,36.5,0.4857142857142857,0.0,0.05714285714285714,1114.821224489796,1937,2068,-131,22.1,133,300,1.0,0
12.657142857142857,16.758695580235962,8.0,86.0,0.0,22.5,0.45714285714285713,0.0,0.0,280.85387755102033,2798,2674,124,31.4,258,180,0.5,1
8.4,15.558552999188947,2.0,81.0,0.0,11.0,0.6285714285714286,0.0,0.0,242.06857142857137,2674,2798,-124,25.1,258,180,0.5,0
23.90909090909091,31.215151368063704,12.0,119.0,0.0,39.0,0.42424242424242425,0.0,0.030303030303030304,974.3856749311294,2303,1923,380,21.0,66,300,0.0,1
6.121212121212121,12.024615096864093,0.0,59.0,0.0,8.0,0.6666666666666666,0.0,0.0,144.59136822773186,1923,2303,-380,22.4,66,300,1.0,0
